AGENCY,MI,ETHNICITY,GENDER,RATE,HRSWKD,MONTHLY,ANNUAL
529, ,WHITE,FEMALE,0.0,40.0,7045.26,84543.12
529,M,WHITE,FEMALE,0.0,40.0,7761.5,93138.0
696, ,HISPANIC,FEMALE,0.0,40.0,4778.2,57338.4
537,A,BLACK,FEMALE,0.0,40.0,3844.92,46139.04
320, ,HISPANIC,MALE,0.0,40.0,5175.35,62104.2
529,D,BLACK,FEMALE,0.0,40.0,5039.96,60479.52
537, ,HISPANIC,FEMALE,0.0,40.0,10106.25,121275.0
529, ,HISPANIC,FEMALE,0.0,40.0,4149.83,49797.96
529,J,HISPANIC,FEMALE,0.0,40.0,5317.71,63812.52
696,J,WHITE,MALE,0.0,40.0,4673.85,56086.2
304,T,WHITE,MALE,0.0,40.0,11166.67,134000.04
405,T,WHITE,FEMALE,0.0,40.0,17710.17,212522.04
696,M,BLACK,MALE,0.0,20.0,2092.4,25108.8
696,C,WHITE,MALE,0.0,40.0,4778.2,57338.4
696,R,WHITE,MALE,0.0,40.0,4673.85,56086.2
696,L,BLACK,FEMALE,0.0,40.0,4778.2,57338.4
582, ,BLACK,FEMALE,0.0,40.0,8785.01,105420.12
696,A,WHITE,MALE,0.0,40.0,5134.14,61609.68
608,L,WHITE,MALE,0.0,40.0,4832.08,57984.96
323,M,HISPANIC,MALE,0.0,40.0,4714.04,56568.48
529,S,WHITE,MALE,0.0,40.0,4594.5,55134.0
696,J,BLACK,MALE,0.0,20.0,2092.4,25108.8
405, ,HISPANIC,MALE,0.0,40.0,8919.83,107037.96
529,E,HISPANIC,FEMALE,0.0,40.0,3753.11,45037.32
332,K,WHITE,MALE,0.0,40.0,8526.0,102312.0
601,F,WHITE,MALE,0.0,40.0,8403.72,100844.64
530,S,HISPANIC,FEMALE,0.0,40.0,2870.7,34448.4
323,Y,BLACK,FEMALE,0.0,40.0,6168.75,74025.0
696,K,BLACK,FEMALE,0.0,40.0,4992.0,59904.0
405,L,WHITE,MALE,0.0,40.0,11548.41,138580.92
362,D,BLACK,MALE,0.0,40.0,4750.0,57000.0
802,E,WHITE,MALE,0.0,40.0,7482.41,89788.92
529,M,HISPANIC,FEMALE,0.0,40.0,3649.83,43797.96
696,E,BLACK,MALE,0.0,40.0,4295.02,51540.24
582,S,BLACK,FEMALE,0.0,40.0,4534.26,54411.12
529,A,WHITE,MALE,0.0,40.0,5200.0,62400.0
529,L,WHITE,FEMALE,0.0,40.0,4365.66,52387.92
530,D,BLACK,FEMALE,0.0,40.0,5921.08,71052.96
529,E,ASIAN,MALE,0.0,40.0,8304.52,99654.24
320, ,BLACK,FEMALE,0.0,40.0,5129.11,61549.32
405,L,BLACK,MALE,0.0,40.0,11548.41,138580.92
529, ,WHITE,FEMALE,0.0,40.0,12862.5,154350.0
529,C,WHITE,MALE,0.0,40.0,5733.14,68797.68
529, ,HISPANIC,MALE,0.0,40.0,5374.71,64496.52
405,J,WHITE,MALE,0.0,40.0,8919.83,107037.96
530,K,WHITE,FEMALE,0.0,40.0,5020.33,60243.96
529,E,HISPANIC,FEMALE,0.0,40.0,4041.56,48498.72
696, ,HISPANIC,FEMALE,0.0,40.0,4673.85,56086.2
530,D,HISPANIC,FEMALE,0.0,40.0,5622.03,67464.36
529,A,BLACK,FEMALE,0.0,40.0,4594.5,55134.0
529, ,WHITE,FEMALE,0.0,40.0,7838.25,94059.0
696,F,HISPANIC,MALE,0.0,40.0,4778.2,57338.4
696,S,WHITE,MALE,0.0,40.0,5216.73,62600.76
529, ,HISPANIC,FEMALE,0.0,40.0,3018.41,36220.92
537,E,BLACK,FEMALE,0.0,40.0,4394.97,52739.64
529, ,HISPANIC,FEMALE,0.0,40.0,4149.83,49797.96
529, ,HISPANIC,FEMALE,0.0,40.0,3987.32,47847.84
696,A,HISPANIC,FEMALE,0.0,40.0,3904.03,46848.36
530, ,HISPANIC,MALE,0.0,40.0,3683.25,44199.0
530,Y,HISPANIC,FEMALE,0.0,40.0,4010.46,48125.52
530,L,WHITE,FEMALE,0.0,40.0,5311.72,63740.64
302,D,WHITE,FEMALE,0.0,40.0,4690.0,56280.0
696,M,BLACK,FEMALE,0.0,40.0,2838.7,34064.4
530,C,WHITE,FEMALE,0.0,40.0,6270.47,75245.64
302, ,HISPANIC,FEMALE,0.0,40.0,8236.9,98842.8
601,D,WHITE,MALE,0.0,40.0,6300.0,75600.0
103,E,HISPANIC,FEMALE,0.0,40.0,4700.0,56400.0
529,I,WHITE,MALE,0.0,40.0,3139.74,37676.88
529,M,HISPANIC,FEMALE,0.0,40.0,4149.83,49797.96
601,J,BLACK,FEMALE,0.0,40.0,5382.72,64592.64
537,S,BLACK,FEMALE,0.0,40.0,5102.72,61232.64
582,K,WHITE,FEMALE,0.0,40.0,18145.3,217743.6
458,A,WHITE,FEMALE,0.0,40.0,8886.15,106633.8
696,S,BLACK,FEMALE,0.0,40.0,4778.2,57338.4
696,J,BLACK,FEMALE,0.0,40.0,3722.86,44674.32
530,A,HISPANIC,FEMALE,0.0,40.0,5359.46,64313.52
608,M,WHITE,MALE,0.0,40.0,5870.81,70449.72
696,S,WHITE,MALE,0.0,40.0,5854.85,70258.2
529,C,WHITE,MALE,0.0,40.0,4365.65,52387.8
529,L,BLACK,FEMALE,0.0,40.0,4523.16,54277.92
601,K,WHITE,MALE,0.0,40.0,7441.87,89302.44
530,L,BLACK,MALE,0.0,40.0,5089.36,61072.32
696,R,WHITE,MALE,0.0,40.0,4914.99,58979.88
304,C,BLACK,FEMALE,0.0,40.0,9269.03,111228.36
529,L,HISPANIC,FEMALE,0.0,40.0,4594.5,55134.0
529, ,HISPANIC,FEMALE,0.0,40.0,5921.21,71054.52
